DATE,CSUSHPISA_CPIAUCSL
1987-01-01,62.19553
1987-02-01,62.41771
1987-03-01,62.49543
1987-04-01,62.59973
1987-05-01,62.84859
1987-06-01,63.05654
1987-07-01,63.30435
1987-08-01,63.43587
1987-09-01,63.58484
1987-10-01,63.80326
1987-11-01,63.92752
1987-12-01,64.19079
1988-01-01,64.29907
1988-02-01,64.56499
1988-03-01,64.74833
1988-04-01,64.67399
1988-05-01,64.92278
1988-06-01,65.07178
1988-07-01,65.22317
1988-08-01,65.35418
1988-09-01,65.48047
1988-10-01,65.61977
1988-11-01,65.79415
1988-12-01,65.92880
1989-01-01,66.08759
1989-02-01,66.25857
1989-03-01,66.28337
1989-04-01,66.06890
1989-05-01,65.94196
1989-06-01,65.88128
1989-07-01,65.82448
1989-08-01,65.97935
1989-09-01,66.01342
1989-10-01,65.89192
1989-11-01,65.83500
1989-12-01,65.78430
1990-01-01,65.32827
1990-02-01,65.20509
1990-03-01,65.02553
1990-04-01,64.93890
1990-05-01,64.85423
1990-06-01,64.42230
1990-07-01,64.02651
1990-08-01,63.38515
1990-09-01,62.82463
1990-10-01,62.27979
1990-11-01,61.87188
1990-12-01,61.49123
1991-01-01,61.04747
1991-02-01,60.85754
1991-03-01,60.72335
1991-04-01,60.58691
1991-05-01,60.52247
1991-06-01,60.52525
1991-07-01,60.50795
1991-08-01,60.35218
1991-09-01,60.24238
1991-10-01,60.06141
1991-11-01,59.75116
1991-12-01,59.61192
1992-01-01,59.59153
1992-02-01,59.51647
1992-03-01,59.39676
1992-04-01,59.32254
1992-05-01,59.23625
1992-06-01,59.01609
1992-07-01,58.79565
1992-08-01,58.64422
1992-09-01,58.52567
1992-10-01,58.38335
1992-11-01,58.35774
1992-12-01,58.36402
1993-01-01,58.24310
1993-02-01,58.16111
1993-03-01,58.10337
1993-04-01,57.95256
1993-05-01,57.86768
1993-06-01,57.98146
1993-07-01,58.04138
1993-08-01,58.05802
1993-09-01,58.11390
1993-10-01,57.98378
1993-11-01,57.97924
1993-12-01,57.99140
1994-01-01,58.18760
1994-02-01,58.12936
1994-03-01,58.06628
1994-04-01,58.12323
1994-05-01,58.17686
1994-06-01,58.16745
1994-07-01,58.09702
1994-08-01,57.99901
1994-09-01,57.98259
1994-10-01,58.04818
1994-11-01,57.95464
1994-12-01,57.94489
1995-01-01,57.88517
1995-02-01,57.80423
1995-03-01,57.73969
1995-04-01,57.55713
1995-05-01,57.47352
1995-06-01,57.41724
1995-07-01,57.45059
1995-08-01,57.46043
1995-09-01,57.52404
1995-10-01,57.49833
1995-11-01,57.52006
1995-12-01,57.52836
1996-01-01,57.29948
1996-02-01,57.27174
1996-03-01,57.25477
1996-04-01,57.19222
1996-05-01,57.21341
1996-06-01,57.20203
1996-07-01,57.21484
1996-08-01,57.25092
